,Hindi,Sanskrit
10,"भारत जैसा विशाल देश, जो विकास के लिए प्रयत्नशील है, ग़रीबी से निर्णायक लड़ाई लड़ रहा है |","भारत-सदृशः विशालोsयं देशः, यो हि विकासार्थं सततं प्रयतते, निर्धनतां विरुद्ध्य निर्णायक-सङ्घर्षं विदधाति।"
11,"उसके पास, CORONA से लड़ने और जीतने का यही एक तरीका है |","अस्य पार्श्वे, कोरोना-विषाणुना योद्धुं तञ्च जेतुम् अयमेव पन्था।"
12,"और, हम भाग्यशाली हैं कि, आज, पूरा देश, देश का हर नागरिक, जन-जन, इस लड़ाई का सिपाही है, लड़ाई का नेतृत्व कर रहा है |","तथा च, वयं सौभाग्यशालिनः यत्, साम्प्रतम्, अशेष-देशः, देशस्य प्रत्येकमपि नागरिकः, प्रतिजनञ्च, अस्य युद्धस्य योद्धास्ति, अस्य युद्धस्य नेतृत्वं करोति।"
13,"आप कहीं भी नज़र डालिये, आपको एहसास हो जायेगा कि भारत की लड़ाई people driven है |
जब पूरा विश्व इस महामारी के संकट से जूझ रहा है |","भवन्तः कुत्रचिदपि अवलोकयन्तु, नूनम् अनुभविष्यन्ति यत् भारतीयं युद्धं जन-सञ्चालितमस्ति। यदा अशेषमपि विश्वम् अस्याः महामार्याः सङ्कटेन सङ्घर्षनिरतं वर्तते।"
14,"भविष्य में जब इसकी चर्चा होगी, उसके तौर-तरीकों की चर्चा होगी, मुझे विश्वास है कि भारत की यह people driven लड़ाई, इसकी ज़रुर चर्चा होगी |","भविष्यति काले, यदा एतद्विषयिणी चर्चा भविता, एतद्-प्रतिरोधस्य पद्धति-सम्बद्धा च चर्चा भविता, दृढं विश्वसिमि यत् भारतस्य अस्य जन-सञ्चालितस्य सङ्घर्षस्य चर्चा नूनं भविता।"
15,"पूरे देश में, गली-मोहल्लों में, जगह-जगह पर, आज लोग एक-दूसरे की सहायता के लिए आगे आये हैं |","सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"
16,"ग़रीबों के लिए खाने से लेकर, राशन की व्यवस्था हो, lockdown का पालन हो, अस्पतालों की व्यवस्था हो, medical equipment का देश में ही निर्माण हो - आज पूरा देश, एक लक्ष्य, एक दिशा, साथ-साथ चल रहा है |","निर्धनानां कृते भोजनम्, भवतु तत् भोजन-सामग्री वा सञ्चार-रोधस्य अनुपालनम्, चिकित्सालयानां व्यवस्था भवतु वा, चिकित्सकीयानाम् उपकरणानां देशे एव निर्माणं स्याद्वा – सम्प्रति पूर्णोsपि देशः, एकमेव लक्ष्यम्, एकामेव दिशम्, संलक्ष्य युगपदेव अग्रेसरति।"
17,"ताली, थाली, दीया, मोमबत्ती, इन सारी चीज़ों ने जो भावनाओं को जन्म दिया |
जिस ज़ज्बे से देशवासियों ने, कुछ-न-कुछ करने की ठान ली - हर किसी को इन बातों ने प्रेरित किया है |","करताडनं, स्थाली-वादनं, दीपानां सिक्थवर्तिकानाञ्च प्रज्वालनम्, एतैः कार्यैः ते भावाः समुत्पादिताः, सा भावना जनानां मनस्सु जाता, येन देशवासिनः, किञ्चित् किञ्चिदपि कर्तुं निर्णीतवन्तः – एते भावाः प्रत्येकमपि प्रेरितवन्तः।"
18,"शहर हो या गाँव, ऐसा लग रहा है, जैसे देश में एक बहुत बड़ा महायज्ञ चल रहा है, जिसमें, हर कोई अपना योगदान देने के लिये आतुर है |","भवतु नाम पुरं वा ग्रामः, एवं प्रतीयते - यथा देशे कश्चन बृहत्तमः महायज्ञः प्रवर्तते, यस्मै स्वीयं योगदानमर्पयितुं प्रत्येकमपि जनः समुत्साही दृश्यते।"
19,"हमारे किसान भाई-बहनों को ही देखिये – एक तरफ, वो, इस महामारी के बीच अपने खेतों में दिन-रात मेहनत कर रहे हैं और इस बात की भी चिंता कर रहे हैं कि देश में कोई भी भूखा ना सोये |","अस्मदीयान् कृषक भगिनी-भ्रातॄन् एव अवलोकयन्तु – एकतः ते, अस्यां महामार्यां निजक्षेत्रेषु अहर्निशं परिश्रमन्ते, युगपदेव एवमपि चिन्तयन्ति यत् देशे न कश्चन अपि क्षुधितः एव शयीत।"
20,"हर कोई, अपने सामर्थ्य के हिसाब से, इस लड़ाई को लड़ रहा है |","प्रत्येकमपि, स्वीय सामर्थ्यानुसारं, युद्धमिदं युध्यते।"
21,"कोई किराया माफ़ कर रहा है, तो कोई अपनी पूरी पेंशन या पुरस्कार में मिली राशि को, PM CARES में जमा करा रहा है |","कश्चन स्वीयं भाटकं नैवादत्ते, तर्हि कश्चन नैजं पूर्णमपि सेवानिवृत्ति वेतनम् आहोस्वित् पुरस्कार राशिमेव, PM CARES इति प्रधानमन्त्रिणः कोषाय ददाति।"
22,"कोई खेत की सारी सब्जियाँ दान दे रहा है, तो कोई, हर रोज़ सैकड़ों ग़रीबों को मुफ़्त भोजन करा रहा है |","कश्चन स्वीय क्षेत्रस्य सर्वमपि शाकादि जातं दानवृत्या ददाति, तर्हि अपरत्र कश्चन अपरः, प्रतिदिनं सहस्रशो निर्धनेभ्यः निःशुल्कं भोजनं परिवेषयति।"
23,"कोई mask बना रहा है, कहीं हमारे मजदूर भाई-बहन quarantine में रहते हुए, जिस school में रह रहे हैं, उसकी रंगाई-पुताई कर रहे हैं|","कश्चन मुखाच्छादकानि निर्माति, कुत्रचिच्च अस्मदीयाः श्रमिकाः भगिनी-भ्रातरो यत्र विद्यालयीय भवनेषु quarantine इति सङ्ग रोधे निवसन्ति, तानि धातु-चूर्णैः लेपयन्ति रञ्जयन्ति च।"
24,"साथियो, दूसरों की मदद के लिए, आपके भीतर, ह्रदय के किसी कोने में, जो ये उमड़ता-घुमड़ता भाव है ना !","मित्राणि, अन्येषां सहायतायै भवद्भिः हृदये आलोडमानः यद्भावः वर्तते "
25,"वही, वही CORONA के खिलाफ, भारत की इस लड़ाई को ताकत दे रहा है, वही, इस लड़ाई को सच्चे मायने में people driven बना रहा है और हमने देखा है, पिछले कुछ साल में, हमारे देश में, यह मिज़ाज बना है, निरंतर मज़बूत होता रहा है |","तद्धि कोरोनां विरुद्ध्य भारतस्य संघर्षं प्रबलं करोति। असावेव भावः यथार्थेषु एतत्संघर्षं जनसंचालितं करोति।
अस्माभिः दृष्टं यत् विगतेषु वर्षेषु अस्माकं देशे एषः भावः उत्पन्नः सततं च दृढत्वं याति।"
26,"चाहे करोड़ों लोगों का gas subsidy छोड़ना हो, लाखों senior citizen का railway subsidy छोड़ना हो, स्वच्छ भारत अभियान का नेतृत्व लेना हो, toilet बनाने हो - अनगिनत बातें ऐसी हैं |","प्रत्युत कोटिभिः जनैः वात्यर्थ साहाय्यत्यागः भवेत्, लक्षैः वरिष्ठनागरिकैः रेलयात्रार्थ-साहाय्यत्यागो वा, स्वच्छभारताभियानस्य नेतृत्वं भवेत् ,शौचालय-निर्माणं वा,ईदृशाः अगणिताः विषयाः सन्ति।"
27,"इन सारी बातों से पता चलता है - हम सबको - एक मन, एक मजबूत धागे से पिरो दिया है |",एतैः वृत्तैः ज्ञायते यद्वयं सर्वे अस्माकं मनांसि चैकेन सुदृढेन सूत्रेण आविष्टाः। 
28,एक होकर देश के लिए कुछ करने की प्रेरणा दी है |,सम्भूय च देशाय किमपि कर्तुं प्रेरिताः।
29,"मेरे प्यारे देशवासियो, मैं पूरी नम्रतापूर्वक, बहुत ही आदर के साथ, आज, 130 करोड़ देशवासियों की इस भावना को, सर झुका करके, नमन करता हूँ |","मम प्रियाः देशवासिनः, अहं विनम्रतया बह्वादरेण च अद्य त्रिंशदुत्तरैकशतकोटिमितानां देशवासिनां एतद्भावनां शिरसा नमामि।"
30,"आप, अपनी भावना के अनुरूप, देश के लिए अपनी रूचि के हिसाब से, अपने समय के अनुसार, कुछ कर सके, इसके लिए सरकार ने एक Digital Platform भी तैयार किया है |",भवन्तः स्वीयभावनया रुचिपुरस्सरं समयानुसारेण च देशाय किमपि कर्तुमिच्छन्ति चेत्तर्हि सर्वकारेण एतस्य कृते एकं डिजिटल इति अन्तर्जालीयं पटलं उपकल्पितम्।
31,ये platform है – covidwarriors.gov.in |,अस्याभिधानं covidwarriors.gov.in  इत्यस्ति।
32,मैं दोबारा बोलता हूँ - covidwarriors.gov.in |,अहं आवर्तयामि covidwarriors.gov.in इति।
33,"सरकार ने इस platform के माध्यम से तमाम सामाजिक संस्थाओं के Volunteers, Civil Society के प्रतिनिधि और स्थानीय प्रशासन को एक-दूसरे से जोड़ दिया है |","सर्वकारेण एतत्पटलमाध्यमेन सर्वासामपि सामाजिक-संस्थानां स्वयंसेवकाः, जनसमाजस्य प्रतिनिधयः स्थानीयप्रशासनं च परस्परं सम्बद्धीकृतमस्ति।"
34,"बहुत ही कम समय में, इस portal से सवा-करोड़ लोग जुड़ चुके हैं |",अत्यल्पसमये एतत्पटलेन सपादैक-कोटिजनाः संयुक्ताः।
35,"इनमें Doctor, Nurses से लेकर हमारी ASHA, ANM बहनें, हमारे NCC, NSS के साथी, अलग-अलग field के तमाम professionals, उन्होंने, इस platform को, अपना platform बना लिया है |","एतेषु चिकित्सकैः परिचारिकाभिः आशा-ए.एन्.एम्.भगिनीभिः अस्माकम् एन्.सी.सी., अपि च, एन्.एस्.एस्. मित्रैः, भिन्नक्षेत्रेभ्यश्च नैकैः व्यवसायिभिः एषः आत्मीय-पटलत्वेन अंगीकृतः।"
36,ये लोग स्थानीय स्तर पर crisis management plan बनाने वालों में और उसकी पूर्ति में भी बहुत मदद कर रहें हैं |,एते जनाः संकटप्रबन्धनयोजनाकारैः साकं आपूर्तिकार्येषु साहाय्यं कुर्वन्ति।
37,"आप भी covidwarriors.gov.in से जुड़कर, देश की सेवा कर सकते हैं, Covid Warrior बन सकते हैं |",भवन्तोऽपि covidwarriors.gov.in इत्येतेन संयुज्य कोविड योद्धृरूपेण देशसेवां कर्तुं पारयन्ति।
38,"साथियो, हर मुश्किल हालात, हर लड़ाई, कुछ-न-कुछ सबक देती है, कुछ-न-कुछ सिखा करके जाती है, सीख देती है |","मित्राणि, प्रत्येकं कठिन-परिस्थितिः संघर्षं च किमपि शिक्षयति, मार्गदर्शनं करोति।"
39,कुछ संभावनाओं के मार्ग बनाती है और कुछ नई मंजिलों की दिशा भी देती है |,"कासाञ्चन संभावनानां मार्गं प्रदर्शयति, केषांचन लक्ष्याणां च दिशासूचनं करोति।"
40,"इस परिस्थिति में आप सब देशवासियों ने जो संकल्प शक्ति दिखाई है, उससे, भारत में एक नए बदलाव की शुरुआत भी हुई है |",अस्यां परिस्थितौ भवद्भिः देशवासिभिः या संकल्पशक्तिः प्रदर्शितास्ति तया भारते नूतनपरिवर्तनस्य समारम्भः जातः।
41,"हमारे Business, हमारे दफ्तर, हमारे शिक्षण संस्थान, हमारा Medical Sector, हर कोई, तेज़ी से, नये तकनीकी बदलावों की तरफ भी बढ़ रहें हैं |","अस्माकं व्यवसायाः, कार्यालयाः शिक्षणसंस्थानानि चिकित्साक्षेत्रं च प्रत्येकमपि नूतनं प्राविधिक- परिवर्तनम् अनुसरति।"
42,Technology के front पर तो वाकई ऐसा लग रहा है कि देश का हर innovator नई परिस्तिथियों के मुताबिक कुछ-न-कुछ नया निर्माण कर रहा है |,प्राविधिकसन्दर्भे तु वस्तुतः प्रतीयते यद्देशस्य प्रत्येकं नवप्रवर्तनकर्ता सद्यः उपस्थापित-परिस्थित्यनुसारेण किमपि नूतनं परिकल्पयति।
43,"साथियो, देश जब एक team बन करके काम करता है, तब क्या कुछ होता है - ये हम अनुभव कर रहें हैं |","मित्राणि, देशं यदा एकदलरूपेण कार्यमाचरति तदा किं भवतीति वयमद्यत्वेऽनुभवामः।"
44,"आज केन्द्र सरकार हो, राज्य सरकार हो, इनका हर एक विभाग और संस्थान राहत के लिए मिल-जुल करके पूरी speed से काम कर रहे हैं |","साम्प्रतं केन्द्रसर्वकारः भवेद्, राज्यशासनानि वा भवेयुः;
 एतेषां प्रत्येकं विभागः संस्थानं च जनसाहाय्यार्थं सम्भूय पूर्णजवेन कार्यं सम्पादयन्ति।"
45,"हमारे Aviation Sector में काम कर रहे लोग हों, Railway कर्मचारी हों, ये दिन-रात मेहनत कर रहें हैं, ताकि, देशवासियों को कम-से-कम समस्या हो |","अस्माकं वैमानिकक्षेत्रस्य कर्मकराः, रेलविभागीयाः वा कर्मचारिणः, सर्वे अहर्निशं परिश्रमं कुर्वन्ति येन देशवासिनां समस्याः स्वल्पाः भवेयुः।"
46,आप में से शायद बहुत लोगों को मालूम होगा कि देश के हर हिस्से में दवाईयों को पहुँचाने के लिए ‘Lifeline Udan (लाइफ-लाइन उड़ान)’ नाम से एक विशेष अभियान चल रहा है |,भवत्सु अत्यल्पेभ्यः एव जनेभ्यः ज्ञातं स्यात् यत् देशस्य प्रत्येकं क्षेत्रे औषधीनां आपूर्तये लाइफलाइनउड़ान नाम्ना एकं विशेषाभियानं प्रचलति।
47,"हमारे इन साथियों ने, इतने कम समय में, देश के भीतर ही, तीन लाख किलोमीटर की हवाई उड़ान भरी है और 500 टन से अधिक Medical सामग्री, देश के कोने-कोने में आप तक पहुँचाया है |",अस्माकमेतैः मित्रैः अत्यल्पसमये देशाभ्यन्तरे त्रिलक्ष-किलोमीटर-विमानसंचालनेन पंचशत-टनमितोsप्यधिकानां औषधीनाम् आपूर्तिः अशेषदेशे सम्पादितास्ति।
48,"इसी तरह, Railway के साथी, Lockdown में भी लगातार मेहनत कर रहें हैं, ताकि देश के आम लोगों को, जरुरी वस्तुओं की कमी न हो |",एवमेव अस्माकं रेल-मित्राण्यपि संचाररोधे सततं परिश्रमं कुर्वन्ति येन देशस्य जनसाधारणेभ्यः आवश्यकवस्तूनाम्  अभावः न भवेत्।
49,इस काम के लिए भारतीय रेलवे करीब-करीब 60 से अधिक रेल मार्ग पर 100 से भी ज्यादा parcel train चला रही है |,अस्य कृते भारतीयरेलविभागः प्रायशः षष्टिमितेषु मार्गेषु शतोप्यधिकानि पण्ययानानि संचालयति।
50,"इसी तरह दवाओं की आपूर्ति में, हमारे डाक विभाग के लोग, बहुत अहम भूमिका निभा रहें हैं |",एवमेव औषधीनामापूर्तये अस्माकं प्रैष-विभागीयाः जनाः महत्त्वाधायिभूमिकां निर्वहन्ति।
51,"हमारे ये सभी साथी, सच्चे अर्थ में, कोरोना के warrior ही हैं |",एतानि सर्वाण्यस्माकं मित्राणि यथार्थेषु अर्थेषु कोरोनायोद्धारः एव सन्ति।
52,"साथियो, ‘प्रधानमंत्री ग़रीब कल्याण पैकेज़’ के तहत, ग़रीबों के Account में पैसे, सीधे transfer किए जा रहे हैं |","मित्राणि, प्रधानमंत्री निर्धन कल्याण योजनान्तर्गतं निर्धनानां लेखासु प्रत्यक्षं धनान्तरणं विधीयते।"
53,‘वृद्धावस्था पेंशन’ जारी की गई है |,वृद्धावस्थावृत्तिरपि वण्टितास्ति।
54,"गरीबों को तीन महीने के मुफ़्त गैस सिलेंडर, राशन जैसी सुविधायें भी दी जा रही हैं |","निर्धनेभ्यः मासत्रयस्य कृते निःशुल्कं वातिभाण्डानि, भोज्यानां च सुविधाश्चापि दीयन्ते।"
55,"इन सब कामों में, सरकार के अलग-अलग विभागों के लोग, बैंकिंग सेक्टर के लोग, एक team की तरह दिन-रात काम कर रहे हैं |","एतेषु कार्येषु सर्वकारस्य भिन्नविभागानां, बैंकक्षेत्रस्य च जनाः एकदलवद्भूत्वा अहर्निशं कार्यं निर्वहन्ति।"
56,"और मैं, हमारे देश की राज्य सरकारों की भी इस बात के लिए प्रशंसा करूँगा कि वो इस महामारी से निपटने में बहुत सक्रिय भूमिका निभा रही हैं |
स्थानीय प्रशासन, राज्य सरकारें जो जिम्मेदारी निभा रही हैं, उसकी, कोरोना के खिलाफ़ लड़ाई में बहुत बड़ी भूमिका है |","अहं च देशस्य राज्यसर्वकारानभिनन्दामि ये हि महामारीनिवारणे अतिसक्रियां भूमिकां निर्वहन्ति।
स्थानीय प्रशासनं,राज्यशासनानि च यदुत्तरदायित्वं संभालयन्ति, तस्य कोरोनाविषाणुं विरुद्ध्य संघर्षे महती भूमिका वर्तते।"
57,उनका ये परिश्रम बहुत प्रशंसनीय है |,तेषां परिश्रमः बहुप्रशंसनीयः अस्ति।
58,"मेरे प्यारे देशवासियो, देशभर से स्वास्थ्य सेवाओं से जुड़े लोगों ने, अभी हाल ही में जो अध्यादेश लाया गया है, उस पर अपना संतोष व्यक्त किया है |","मम प्रियाः देशवासिनः, अखिलदेशे स्वास्थ्यसेवासु युक्तैः जनैः सद्यः अभ्युपगतम् अध्यादेशं प्रति सन्तोषः प्रकाशितः।"
59,"इस अध्यादेश में, कोरोना warriors के साथ हिंसा, उत्पीड़न और उन्हें किसी रूप में चोट पहुचाने वालों के खिलाफ़ बेहद सख्त़ सज़ा का प्रावधान किया गया है |",अस्मिन् अध्यादेशे कोरोनायोद्धृन् विरुद्ध्य हिंस्राचरणम् उत्पीडनं आघातकर्तृभ्यश्च अत्यधिक-कठोरदण्डस्य प्रावधानं विहितमस्ति।
60,"हमारे डॉक्टर, Nurses , para-medical staff, Community Health Workers और ऐसे सभी लोग, जो देश को ‘कोरोना-मुक्त’ बनाने में दिन-रात जुटे हुए हैं,उनकी रक्षा करने के लिए ये कदम बहुत ज़रुरी था |","अस्माकं चिकित्सकाः, परिचारिकाः,उपचिकित्सा-कार्मिकाः, समुदायस्वास्थ्यकर्मिणः, अन्ये च जनाः ये देशं कोरोनामुक्तं कर्तुं अहर्निंशं प्रयतन्ते;
 तेषां रक्षायै पदमिदं अपरिहार्यमासीत्।"
61,"मेरे प्यारे देशवासियों, हम सब अनुभव कर रहे हैं कि महामारी के खिलाफ़, इस लड़ाई के दौरान हमें अपने जीवन को, समाज को, हमारे आप-पास हो रही घटनाओं को, एक fresh नज़रिए से देखने का अवसर भी मिला है |","मम प्रियाः देशवासिनः, वयं सर्वे अनुभवामः यन्महामारीं विरुद्ध्य अस्मिन् संघर्षे अस्माभिः स्वीयजीवनं समाजः पारिवेशिकघटनाश्च नूतन-मन्तव्य-परीक्षणार्थम् अवसरत्वेन उपलब्धः।"
62,समाज के नज़रिये में भी व्यापक बदलाव आया है |,सामाजिकमन्तव्येऽपि व्यापकं परिवर्तनं दृश्यते।
63,आज अपने जीवन से जुड़े हर व्यक्ति की अहमियत का हमें आभास हो रहा है |,अद्य स्वीय-जीवनसम्बद्धस्य प्रत्येकं मानवस्य महत्त्वं वयमनुभवामः।
64,"हमारे घरों में काम करने वाले लोग हों, हमारी ज़रूरतों को पूरा करने के लिए काम करने वाले हमारे सामान्य कामगार हों, पड़ोस की दुकानों में काम करने वाले लोग हों, इन सबकी कितनी बड़ी भूमिका है - हमें यह अनुभव हो रहा है |","अस्माकं गृहेषु कार्यकर्तारः भवेयुः, अस्माकमावश्यकतानां आपूर्त्यर्थं कार्यरताः सामान्याः कर्मकराः, प्रतिवेश्यापणेषु नियुक्ताः कर्मिणः वा, एतेषां कीदृशी महती भूमिका वर्तते इति वयं साम्प्रतमनुभवामः।"
65,"इसी तरह, ज़रुरी सेवाओं की delivery करने वाले लोग, मंडियों में काम करने वाले हमारे मज़दूर भाई-बहन, हमारे आस-पड़ोस के ऑटो-चालक, रिक्शा-चालक - आज हम अनुभव कर रहे हैं कि इन सब के बिना हमारा जीवन कितना मुश्किल हो सकता है |","एवमेव आवश्यकसेवानाम् आपूर्तिकर्तारः, हाटकेषु युक्ताः श्रमिक- भ्रातरो भगिन्यः चास्माकं प्रतिवेशिनः स्वयंयान-चालकाः रिक्शाचालकाश्च -अद्य वयमनुभवामः यदेतान् विना अस्माकं जीवनं कियत्कठिनं भवितुमर्हति।"
66,"आज कल Social Media में हम सबलोग लगातार देख रहे हैं कि LOCKDOWN के दौरान, लोग अपने इन साथियों को न सिर्फ़ याद कर रहे है, उनकी ज़रूरतों का ध्यान रख रहे हैं, बल्कि उनके बारे में, बहुत सम्मान से लिख भी रहे हैं |","अद्यत्वे सामाजिकमाध्यमेषु वयं सर्वे सततं पश्यामः यत्संचाररोधावधौ जनाः स्वीयान् एतान्सहायकान् न केवलं स्मरन्ति, तेषाम् आवश्यकतानां चिन्तां कुर्वन्ति, अपितु, तेषां विषये सम्मान-पुरस्सरं लेखनमपि कुर्वन्ति।"
67,"आज, देश के हर कोने से ऐसी तस्वीरे आ रही हैं कि लोग सफाई-कर्मियों पर पुष्प-वर्षा कर रहे हैं |","अद्य देशस्य विभिन्न-भागेभ्यः चित्राकृतयः दृश्यन्ते, यज्जनाः स्वच्छता-कर्मिषु पुष्पवर्षां कुर्वन्ति।"
68,"पहले, उनके काम को संभवतः आप भी कभी notice नहीं करते थे |",पूर्वं चेत्तेषां कार्यं भवद्भिः कदापि नैवाकलितं स्यात्।
69,"डॉक्टर हों, सफाईकर्मी हों, अन्य सेवा करने वाले लोग हों - इतना ही नहीं, हमारी पुलिस-व्यवस्था को लेकर भी आम लोगों की सोच में काफ़ी बदलाव हुआ है |","चिकित्सकाः स्युः, स्वच्छताकर्मिणः वा, अन्येषु वा सेवाकार्येषु युक्ताः जनाः आरक्षिकार्मिकाश्च तान् सर्वान् एव प्रति जनसामान्यस्य चिन्तने प्रभूतपरिवर्तनं समागतम्।"
70,"पहले पुलिस के विषय में सोचते ही नकारात्मकता के सिवाय, हमें कुछ नज़र नहीं आता था |","पूर्वम्, आरक्षिविषये चिन्तनमात्रेण नकारात्मक-चिन्तनं विहाय अन्यः भावः नागच्छति स्म।"
71,"हमारे पुलिसकर्मी आज ग़रीबों, ज़रुरतमंदो को खाना पंहुचा रहे हैं, दवा पंहुचा रहे हैं |",अद्यास्माकं आरक्षिकर्मिणः निर्धनेभ्यः अकिंचनेभ्यश्च भोजनं प्रयच्छन्ति औषधवितरणं च कुर्वन्ति।
72,"जिस तरह से हर मदद के लिए पुलिस सामने आ रही है इससे POLICING का मानवीय और संवेदनशील पक्ष हमारे सामने उभरकर के आया है, हमारे मन को झकझोर दिया है, हमारे दिल को छू लिया है |","यथा सर्वविध-साहाय्यं प्रदातुं आरक्षिणः प्रस्तुताः, तेन आरक्षिसेवायाः मानवीयः सम्वेदनशीलश्च पक्षः अस्माकं सम्मुखं प्रस्तुतः,
एतेनास्माकं मनांसि सर्वथा झङ्कृतानि हृदयं च गहनतया स्पृष्टमस्ति।"
73,"हमारे पुलिसकर्मियों ने, इसे जनता की सेवा के एक अवसर के रूप में लिया है और मुझे पूरा विश्वास है - इन घटनाओं से, आने वाले समय में, सच्चे अर्थ में, बहुत ही सकारात्मक बदलाव आ सकता है और हम सबने इस सकारात्मकता को कभी भी नकारात्मकता के रंग से रंगना नहीं है |","अस्माकं आरक्षिकर्मिभिः एष अवधिः जनसेवाऽवसरत्वेन स्वीकृतः। अहं विश्वस्तोऽस्मि यदेताभिः घटनाभिः अनागते समये वस्तुतः अतिसकारात्मकं परिवर्तनं सम्भाव्यते।
अस्माभिश्च एष सकारात्मकभावः कदापि वैपर्यभावे नैव परिवर्तनीयः।"
74,"साथियो, हम अक्सर सुनते हैं – प्रकृति, विकृति और संस्कृति, इन शब्दों को एक साथ देखें और इसके पीछे के भाव को देखें तो आपको जीवन को समझने का भी एक नया द्वार खुलता हुआ दिखेगा |","मित्राणि, वयं प्रायः प्रकृतिः विकृतिः संस्कृतिश्चेति शब्दान्  शृणुमः।
एतेषां शब्दानां आहत्य विचारेण एतेषां अन्तर्हितभावस्य   अनुभवेन च जीवनबोधस्य नूतनमेकं द्वारमनावृतं भवति।"
75,"अगर, मानव- प्रकृति की चर्चा करें तो ‘ये मेरा है’, ‘मैं इसका उपयोग करता हूँ’ इसको और इस भावना को, बहुत स्वाभाविक माना जाता है |","यदि मानवानां प्रकृतिविषये चिन्तयामः तर्हि ‘एतन्ममास्ति’, ‘अहमेतस्य उपयोगं करोमि’इत्येषः भावः स्वाभाविकः मान्यते।"
