,Hindi,Kannada,devanagari_kannada
10,"भारत जैसा विशाल देश, जो विकास के लिए प्रयत्नशील है, ग़रीबी से निर्णायक लड़ाई लड़ रहा है |",ಅಭಿವೃದ್ಧಿ ಹೊಂದುತ್ತಿರುವ ಭಾರತದಂತಹ ವಿಶಾಲವಾದ ದೇಶ ಬಡತನದೊಂದಿಗೆ ನಿರ್ಣಾಯಕ ಹೋರಾಟ ನಡೆಸಿದೆ.,अभिवृद्धि हॊंदुत्तिरुव भारतदंतह विशालवाद देश बडतनदॊंदिगॆ निर्णायक होराट नडॆसिदॆ.
11,"उसके पास, CORONA से लड़ने और जीतने का यही एक तरीका है |",ಅದರ ಬಳಿ ಕೊರೊನಾ ವಿರುದ್ಧ ಹೋರಾಡಿ ಗೆಲ್ಲಲು ಇದೊಂದೇ ಉಪಾಯವಿದೆ.,अदर बळि कॊरॊना विरुद्ध होराडि गॆल्ललु इदॊंदे उपायविदॆ.
12,"और, हम भाग्यशाली हैं कि, आज, पूरा देश, देश का हर नागरिक, जन-जन, इस लड़ाई का सिपाही है, लड़ाई का नेतृत्व कर रहा है |","ನಾವು ಭಾಗ್ಯವಂತರು.
ಇಂದು ಸಂಪೂರ್ಣ ದೇಶದ ಪ್ರತಿ ನಾಗರಿಕ, ಪ್ರತಿಯೊಬ್ಬ ವ್ಯಕ್ತಿ, ಈ ಹೋರಾಟದ ಸೈನಿಕರಾಗಿದ್ದಾನೆ, ಹೋರಾಟದ ನೇತೃತ್ವವಹಿಸುತ್ತಿದ್ದಾರೆ.","नावु भाग्यवंतरु.
इंदु संपूर्ण देशद प्रति नागरिक, प्रतियॊब्ब व्यक्ति, ई होराटद सैनिकरागिद्दानॆ, होराटद नेतृत्ववहिसुत्तिद्दारॆ."
13,"आप कहीं भी नज़र डालिये, आपको एहसास हो जायेगा कि भारत की लड़ाई people driven है |
जब पूरा विश्व इस महामारी के संकट से जूझ रहा है |","ನೀವೂ ಎಲ್ಲಿಯೇ ನೋಡಿ, ನಿಮಗೆ ಭಾರತದ ಹೋರಾಟ ಜನಸಂಘರ್ಷವಾಗಿದೆ ಎಂಬುದರ ಅನುಭವವಾಗುತ್ತದೆ.
ಸಂಪೂರ್ಣ ವಿಶ್ವವೇ ಈ ಮಹಾಮಾರಿಯ ಸಂಕಷ್ಟದಲ್ಲಿ ಸಿಲುಕಿಕೊಂಡಿದೆ.","नीवू ऎल्लिये नोडि, निमगॆ भारतद होराट जनसंघर्षवागिदॆ ऎंबुदर अनुभववागुत्तदॆ.
संपूर्ण विश्ववे ई महामारिय संकष्टदल्लि सिलुकिकॊंडिदॆ."
14,"भविष्य में जब इसकी चर्चा होगी, उसके तौर-तरीकों की चर्चा होगी, मुझे विश्वास है कि भारत की यह people driven लड़ाई, इसकी ज़रुर चर्चा होगी |","ಭವಿಷ್ಯದಲ್ಲಿ ಇದರ ಕುರಿತು ಚರ್ಚೆಯಾದಾಗ, ಈ ಸಮಯದಲ್ಲಿ ಕೈಗೊಂಡ ಕ್ರಮಗಳ ಬಗ್ಗೆ ಚರ್ಚೆಯಾದಾಗ, ಭಾರತದ ಜನಸಂಘರ್ಷದ ಕುರಿತು ಖಂಡಿತ ಚರ್ಚೆಯಾಗುತ್ತದೆ ಎಂಬ ವಿಶ್ವಾಸ ನನಗಿದೆ.","भविष्यदल्लि इदर कुरितु चर्चॆयादाग, ई समयदल्लि कैगॊंड क्रमगळ बग्गॆ चर्चॆयादाग, भारतद जनसंघर्षद कुरितु खंडित चर्चॆयागुत्तदॆ ऎंब विश्वास ननगिदॆ."
15,"पूरे देश में, गली-मोहल्लों में, जगह-जगह पर, आज लोग एक-दूसरे की सहायता के लिए आगे आये हैं |","ಸಂಪೂರ್ಣ ದೇಶದಲ್ಲಿ, ಪ್ರತಿ ಬೀದಿ, ಬೀದಿಗಳಲ್ಲಿ ಇಂದು ಜನರು ಪರಸ್ಪರರ ನೆರವಿಗೆ ಮುಂದೆ ಬಂದಿದ್ದಾರೆ.","संपूर्ण देशदल्लि, प्रति बीदि, बीदिगळल्लि इंदु जनरु परस्परर नॆरविगॆ मुंदॆ बंदिद्दारॆ."
16,"ग़रीबों के लिए खाने से लेकर, राशन की व्यवस्था हो, lockdown का पालन हो, अस्पतालों की व्यवस्था हो, medical equipment का देश में ही निर्माण हो - आज पूरा देश, एक लक्ष्य, एक दिशा, साथ-साथ चल रहा है |","ಬಡವರ ಊಟದ ವ್ಯವಸ್ಥೆಯಿಂದ ಹಿಡಿದು ಪಡಿತರ ವ್ಯವಸ್ಥೆ, ಲಾಕ್ ಡೌನ್ ಪಾಲಿಸುವುದಾಗಲಿ, ಆಸ್ಪತ್ರೆಗಳ ವ್ಯವಸ್ಥೆಯಾಗಲಿ, ದೇಶದಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉಪಕರಣಗಳ ಉತ್ಪಾದನೆಯಾಗಲಿ – ಸಂಪೂರ್ಣ ದೇಶ ಇಂದು ಒಂದೇ ಗುರಿ, ಒಂದೇ ದಿಕ್ಕಿನೆಡೆ ಒಗ್ಗೂಡಿ ಮುನ್ನಡೆದಿದೆ.","बडवर ऊटद व्यवस्थॆयिंद हिडिदु पडितर व्यवस्थॆ, लाक् डौन् पालिसुवुदागलि, आस्पत्रॆगळ व्यवस्थॆयागलि, देशदल्लि वैद्यकीय उपकरणगळ उत्पादनॆयागलि – संपूर्ण देश इंदु ऒंदे गुरि, ऒंदे दिक्किनॆडॆ ऒग्गूडि मुन्नडॆदिदॆ."
17,"ताली, थाली, दीया, मोमबत्ती, इन सारी चीज़ों ने जो भावनाओं को जन्म दिया |
जिस ज़ज्बे से देशवासियों ने, कुछ-न-कुछ करने की ठान ली - हर किसी को इन बातों ने प्रेरित किया है |","ಚಪ್ಪಾಳೆ, ಜಾಗಟೆ, ದೀಪ, ಮೇಣದ ಬತ್ತಿ ಇವೆಲ್ಲವೂ ಮೂಡಿಸಿದಂತಹ ಭಾವನೆಗಳು, ದೇಶಬಾಂಧವರಲ್ಲಿ ಏನನ್ನಾದರೂ ಮಾಡಲೇಬೇಕೆಂಬ ಹಠವನ್ನು ಹುಟ್ಟುಹಾಕಿವೆ.","चप्पाळॆ, जागटॆ, दीप, मेणद बत्ति इवॆल्लवू मूडिसिदंतह भावनॆगळु, देशबांधवरल्लि एनन्नादरू माडलेबेकॆंब हठवन्नु हुट्टुहाकिवॆ."
18,"शहर हो या गाँव, ऐसा लग रहा है, जैसे देश में एक बहुत बड़ा महायज्ञ चल रहा है, जिसमें, हर कोई अपना योगदान देने के लिये आतुर है |","ಗ್ರಾಮವಿರಲಿ, ನಗರವೇ ಆಗಿರಲಿ, ಎಲ್ಲಿ ನೋಡಿದರೂ ದೇಶದಲ್ಲಿ ಒಂದು ಮಹಾಯಜ್ಞ ನಡೆದಂತೆ ಭಾಸವಾಗುತ್ತಿದೆ, ಇದರಲ್ಲಿ ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಕೊಡುಗೆ ನೀಡಲು ಕಾತುರರಾಗಿದ್ದಾರೆ.","ग्रामविरलि, नगरवे आगिरलि, ऎल्लि नोडिदरू देशदल्लि ऒंदु महायज्ञ नडॆदंतॆ भासवागुत्तिदॆ, इदरल्लि प्रतियॊब्बरू तम्म कॊडुगॆ नीडलु कातुररागिद्दारॆ."
19,"हमारे किसान भाई-बहनों को ही देखिये – एक तरफ, वो, इस महामारी के बीच अपने खेतों में दिन-रात मेहनत कर रहे हैं और इस बात की भी चिंता कर रहे हैं कि देश में कोई भी भूखा ना सोये |","
ನಮ್ಮ ರೈತ ಸೋದರ ಸೋದರಿಯರನ್ನೇ ನೋಡಿ! ಒಂದೆಡೆ ಅವರು ಈ ಮಹಾಮರಿಯ ಮಧ್ಯೆಯೇ ತಮ್ಮ ತೋಟಗದ್ದೆಗಳಲ್ಲಿ ಹಗಲಿರುಳು ಶ್ರಮಿಸುತ್ತಿದ್ದಾರೆ. ಮತ್ತೊಂದೆಡೆ ದೇಶದಲ್ಲಿ ಯಾರೂ ಹಸಿವಿನಿಂದ ಬಳಲಬಾರದು ಎಂದು ಚಿಂತಿಸುತ್ತಿದ್ದಾರೆ.","
नम्म रैत सोदर सोदरियरन्ने नोडि! ऒंदॆडॆ अवरु ई महामरिय मध्यॆये तम्म तोटगद्दॆगळल्लि हगलिरुळु श्रमिसुत्तिद्दारॆ. मत्तॊंदॆडॆ देशदल्लि यारू हसिविनिंद बळलबारदु ऎंदु चिंतिसुत्तिद्दारॆ."
20,"हर कोई, अपने सामर्थ्य के हिसाब से, इस लड़ाई को लड़ रहा है |",ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಸಾಮರ್ಥ್ಯಕ್ಕನುಸಾರವಾಗಿ ಈ ಹೋರಾಟ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,प्रतियॊब्बरू तम्म सामर्थ्यक्कनुसारवागि ई होराट नडॆसुत्तिद्दारॆ.
21,"कोई किराया माफ़ कर रहा है, तो कोई अपनी पूरी पेंशन या पुरस्कार में मिली राशि को, PM CARES में जमा करा रहा है |","ಯಾರೋ ಬಾಡಿಗೆಯನ್ನು ಮನ್ನಾ ಮಾಡಿದರೆ, ಇನ್ನಾರೋ ತಮ್ಮ ಪಿಂಚಣಿ ಅಥವಾ ಪ್ರಶಸ್ತಿ ಮೌಲ್ಯವನ್ನು ಪಿ ಎಂ ಕೇರ್ಸ್ ನಿಧಿಗೆ ಜಮಾ ಮಾಡುತ್ತಿದ್ದಾರೆ.","यारो बाडिगॆयन्नु मन्ना माडिदरॆ, इन्नारो तम्म पिंचणि अथवा प्रशस्ति मौल्यवन्नु पि ऎं केर्स् निधिगॆ जमा माडुत्तिद्दारॆ."
22,"कोई खेत की सारी सब्जियाँ दान दे रहा है, तो कोई, हर रोज़ सैकड़ों ग़रीबों को मुफ़्त भोजन करा रहा है |",ಯಾರೋ ತೋಟದ ಎಲ್ಲ ತರಕಾರಿಗಳನ್ನು ದಾನ ಮಾಡುತ್ತಿದ್ದಾರೆ ಮತ್ತೊಬ್ಬರು ಪ್ರತಿದಿನ ಸಾವಿರಾರು ಬಡವರಿಗೆ ಉಚಿತ ಭೋಜನ ನೀಡುತ್ತಿದ್ದಾರೆ.,यारो तोटद ऎल्ल तरकारिगळन्नु दान माडुत्तिद्दारॆ मत्तॊब्बरु प्रतिदिन साविरारु बडवरिगॆ उचित भोजन नीडुत्तिद्दारॆ.
23,"कोई mask बना रहा है, कहीं हमारे मजदूर भाई-बहन quarantine में रहते हुए, जिस school में रह रहे हैं, उसकी रंगाई-पुताई कर रहे हैं|","ಯಾರೋ ಮಾಸ್ಕ್ ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದರೆ, ಬಹಳಷ್ಟು ನಮ್ಮ ಕಾರ್ಮಿಕ ಸೋದರ ಸೋದರಿಯರು, ಯಾವ ಶಾಲೆಯಲ್ಲಿ ಕ್ವಾರೆಂಟೈನ್ ಆಗಿರುವರೋ ಆ ಶಾಲೆಯ ಸುಣ್ಣ ಬಣ್ಣದ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.","यारो मास्क् सिद्धपडिसुत्तिद्दरॆ, बहळष्टु नम्म कार्मिक सोदर सोदरियरु, याव शालॆयल्लि क्वारॆंटैन् आगिरुवरो आ शालॆय सुण्ण बण्णद कॆलस माडुत्तिद्दारॆ."
24,"साथियो, दूसरों की मदद के लिए, आपके भीतर, ह्रदय के किसी कोने में, जो ये उमड़ता-घुमड़ता भाव है ना !","ಸ್ನೇಹಿತರೆ, ಮತ್ತೊಬ್ಬರ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಹೃದಯದ ಯಾವುದೋ ಮೂಲೆಯಲ್ಲಿ ಉಕ್ಕುತ್ತಿರುವ ಭಾವನೆಯೇನಿದೆಯೋ ","स्नेहितरॆ, मत्तॊब्बर सहायक्कागि निम्म हृदयद यावुदो मूलॆयल्लि उक्कुत्तिरुव भावनॆयेनिदॆयो "
25,"वही, वही CORONA के खिलाफ, भारत की इस लड़ाई को ताकत दे रहा है, वही, इस लड़ाई को सच्चे मायने में people driven बना रहा है और हमने देखा है, पिछले कुछ साल में, हमारे देश में, यह मिज़ाज बना है, निरंतर मज़बूत होता रहा है |","ಅದೇ ಕೊರೊನಾ ವಿರುದ್ಧದ ಭಾರತದ ಈ ಹೋರಾಟಕ್ಕೆ ಶಕ್ತಿ ತುಂಬುತ್ತಿದೆ, ಅದೇ ಈ ಹೋರಾಟವನ್ನು ನಿಜವಾದ ಅರ್ಥದಲ್ಲಿ ಜನಸಂಘರ್ಷವನ್ನಾಗಿಸುತ್ತಿದೆ. ಅಲ್ಲದೆ ಕಳೆದ ಕೆಲವು ವರ್ಷಗಳಿಂದ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಈ ಮನಸ್ಥಿತಿ ರೂಪುಗೊಳ್ಳುತ್ತಿದೆ ಮತ್ತು ಅದು ನಿರಂತರವಾಗಿ ಸದೃಡಗೊಳ್ಳುತ್ತಿದೆ ಎಂಬುದನ್ನು ನಾವು ನೋಡಿದ್ದೇವೆ.","अदे कॊरॊना विरुद्धद भारतद ई होराटक्कॆ शक्ति तुंबुत्तिदॆ, अदे ई होराटवन्नु निजवाद अर्थदल्लि जनसंघर्षवन्नागिसुत्तिदॆ. अल्लदॆ कळॆद कॆलवु वर्षगळिंद नम्म देशदल्लि ई मनस्थिति रूपुगॊळ्ळुत्तिदॆ मत्तु अदु निरंतरवागि सदृडगॊळ्ळुत्तिदॆ ऎंबुदन्नु नावु नोडिद्देवॆ."
26,"चाहे करोड़ों लोगों का gas subsidy छोड़ना हो, लाखों senior citizen का railway subsidy छोड़ना हो, स्वच्छ भारत अभियान का नेतृत्व लेना हो, toilet बनाने हो - अनगिनत बातें ऐसी हैं |","ಅದು ಕೋಟ್ಯಾಂತರ ಜನರು ಗ್ಯಾಸ್ ಸಬ್ಸಿಡಿ ಬಿಟ್ಟುಕೊಡುವುದಾಗಲಿ, ಲಕ್ಷಾಂತರ ಹಿರಿಯ ನಾಗರಿಕರು ತಮ್ಮ ರೈಲ್ವೇ ಸಬ್ಸಿಡಿ ಬಿಟ್ಟುಕೊಡುವುದಾಗಲಿ, ಸ್ವಚ್ಛ ಬಾರತ ಆಂದೋಲನದ ನೇತೃತ್ವವಹಿಸುವುದಾಗಲಿ, ಶೌಚಾಲಯಗಳನ್ನು ನಿರ್ಮಿಸುವುದಾಗಲಿ –ಲೆಕ್ಕವಿಲ್ಲದಷ್ಟು ಇಂಥ ವಿಷಯಗಳಿವೆ.","अदु कोट्यांतर जनरु ग्यास् सब्सिडि बिट्टुकॊडुवुदागलि, लक्षांतर हिरिय नागरिकरु तम्म रैल्वे सब्सिडि बिट्टुकॊडुवुदागलि, स्वच्छ बारत आंदोलनद नेतृत्ववहिसुवुदागलि, शौचालयगळन्नु निर्मिसुवुदागलि –लॆक्कविल्लदष्टु इंथ विषयगळिवॆ."
27,"इन सारी बातों से पता चलता है - हम सबको - एक मन, एक मजबूत धागे से पिरो दिया है |",ಇವೆಲ್ಲವುಗಳಿಂದ ನಮಗೆ ತಿಳಿಯುವುದೇನೆಂದರೆ – ಒಂದೇ ಸೂತ್ರದಲ್ಲಿ ನಮ್ಮೆಲ್ಲರ ಮನಸ್ಸುಗಳನ್ನು ಬಂಧಿಸಲಾಗಿದೆ.,इवॆल्लवुगळिंद नमगॆ तिळियुवुदेनॆंदरॆ – ऒंदे सूत्रदल्लि नम्मॆल्लर मनस्सुगळन्नु बंधिसलागिदॆ.
28,एक होकर देश के लिए कुछ करने की प्रेरणा दी है |,ಒಗ್ಗೂಡಿ ದೇಶಕ್ಕಾಗಿ ಏನಾದರೂ ಮಾಡುವಂತೆ ಪ್ರೇರೆಪಿಸಿದೆ.,ऒग्गूडि देशक्कागि एनादरू माडुवंतॆ प्रेरॆपिसिदॆ.
29,"मेरे प्यारे देशवासियो, मैं पूरी नम्रतापूर्वक, बहुत ही आदर के साथ, आज, 130 करोड़ देशवासियों की इस भावना को, सर झुका करके, नमन करता हूँ |","ನನ್ನ ಪ್ರಿಯ ದೇಶಬಾಂಧವರೆ, ನಾನು ವಿನಮ್ರನಾಗಿ ಬಹಳ ಗೌರವದಿಂದ 130 ಕೋಟಿ ದೇಶವಾಸಿಗಳ ಈ ಭಾವನೆಗೆ ಇಂದು ತಲೆ ಬಾಗುತ್ತೇನೆ.","नन्न प्रिय देशबांधवरॆ, नानु विनम्रनागि बहळ गौरवदिंद 130 कोटि देशवासिगळ ई भावनॆगॆ इंदु तलॆ बागुत्तेनॆ."
30,"आप, अपनी भावना के अनुरूप, देश के लिए अपनी रूचि के हिसाब से, अपने समय के अनुसार, कुछ कर सके, इसके लिए सरकार ने एक Digital Platform भी तैयार किया है |","ನಿಮ್ಮ ಭಾವನೆಯ ಪ್ರಕಾರ ದೇಶಕ್ಕೆ ನಿಮ್ಮ ಆಸಕ್ತಿಯನುಸಾರ, ನಿಮ್ಮ ಸಮಯದ ಲಭ್ಯತೆಗೆ ತಕ್ಕಂತೆ ಏನನ್ನಾದರೂ ಮಾಡಲು ಸರ್ಕಾರವು ಒಂದು ಡಿಜಿಟಲ್ ವೇದಿಕೆಯನ್ನು ಸಿದ್ಧಪಡಿಸಿದೆ.","निम्म भावनॆय प्रकार देशक्कॆ निम्म आसक्तियनुसार, निम्म समयद लभ्यतॆगॆ तक्कंतॆ एनन्नादरू माडलु सर्कारवु ऒंदु डिजिटल् वेदिकॆयन्नु सिद्धपडिसिदॆ."
31,ये platform है – covidwarriors.gov.in |,ಈ ವೇದಿಕೆ – covidwarriors.gov.in.,ई वेदिकॆ – covidwarriors.gov.in.
32,मैं दोबारा बोलता हूँ - covidwarriors.gov.in |,ನಾನು ಮತ್ತೊಮ್ಮೆ ಹೇಳುತ್ತೇನೆ covidwarriors..gov.in.,नानु मत्तॊम्मॆ हेळुत्तेनॆ covidwarriors..gov.in.
33,"सरकार ने इस platform के माध्यम से तमाम सामाजिक संस्थाओं के Volunteers, Civil Society के प्रतिनिधि और स्थानीय प्रशासन को एक-दूसरे से जोड़ दिया है |","ಈ ವೇದಿಕೆ ಎಲ್ಲ ಸಾಮಾಜಿಕ ಸಂಸ್ಥೆಗಳ ಸ್ವಯಂಸೇವಕರು, ನಾಗರಿಕ ಸಮಾಜದ ಪ್ರತಿನಿಧಿಗಳು ಮತ್ತು ಸ್ಥಳೀಯ ಆಡಳಿತಗಳ ನಡುವೆ ಪರಸ್ಪರ ಸಂಪರ್ಕ ಕಲ್ಪಿಸಿದೆ.","ई वेदिकॆ ऎल्ल सामाजिक संस्थॆगळ स्वयंसेवकरु, नागरिक समाजद प्रतिनिधिगळु मत्तु स्थळीय आडळितगळ नडुवॆ परस्पर संपर्क कल्पिसिदॆ."
34,"बहुत ही कम समय में, इस portal से सवा-करोड़ लोग जुड़ चुके हैं |","ಬಹಳ ಕಡಿಮೆ ಸಮಯದಲ್ಲಿ, 1 ಕೋಟಿ 25 ಲಕ್ಷ ಜನರು ಈ ಪೋರ್ಟಲ್ ನಲ್ಲಿ ಸೇರಿದ್ದಾರೆ.","बहळ कडिमॆ समयदल्लि, 1 कोटि 25 लक्ष जनरु ई पोर्टल् नल्लि सेरिद्दारॆ."
35,"इनमें Doctor, Nurses से लेकर हमारी ASHA, ANM बहनें, हमारे NCC, NSS के साथी, अलग-अलग field के तमाम professionals, उन्होंने, इस platform को, अपना platform बना लिया है |","ಇವರಲ್ಲಿ ವೈದ್ಯರು, ಶುಶ್ರೂಷಕಿಯರಿಂದ ಹಿಡಿದು ನಮ್ಮ ಆಶಾ, ಎಎನ್‌ಎಂ ಸಹೋದರಿಯರು , ನಮ್ಮ ಎನ್‌ಸಿಸಿ , ಎನ್‌ಎಸ್‌ಎಸ್ ಸ್ನೇಹಿತರು, ವಿವಿಧ ಕ್ಷೇತ್ರಗಳ ಎಲ್ಲ ವೃತ್ತಿಪರರು , ಈ ವೇದಿಕೆಯನ್ನು ತಮ್ಮ ವೇದಿಕೆಯನ್ನಾಗಿಸಿಕೊಂಡಿದ್ದಾರೆ.","इवरल्लि वैद्यरु, शुश्रूषकियरिंद हिडिदु नम्म आशा, ऎऎन्‌ऎं सहोदरियरु , नम्म ऎन्‌सिसि , ऎन्‌ऎस्‌ऎस् स्नेहितरु, विविध क्षेत्रगळ ऎल्ल वृत्तिपररु , ई वेदिकॆयन्नु तम्म वेदिकॆयन्नागिसिकॊंडिद्दारॆ."
36,ये लोग स्थानीय स्तर पर crisis management plan बनाने वालों में और उसकी पूर्ति में भी बहुत मदद कर रहें हैं |,ಇವರೆಲ್ಲರೂ ಸ್ಥಳೀಯ ಮಟ್ಟದಲ್ಲಿ ಬಿಕ್ಕಟ್ಟು ನಿರ್ವಹಣಾ ಯೋಜನೆಗಳನ್ನು ರೂಪಿಸುವಲ್ಲಿ ಮತ್ತು ಅದನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸುವುದರಲ್ಲಿ ಬಹಳಷ್ಟು ಸಹಾಯ ಮಾಡುತ್ತಿದ್ದಾರೆ.,इवरॆल्लरू स्थळीय मट्टदल्लि बिक्कट्टु निर्वहणा योजनॆगळन्नु रूपिसुवल्लि मत्तु अदन्नु कार्यगतगॊळिसुवुदरल्लि बहळष्टु सहाय माडुत्तिद्दारॆ.
37,"आप भी covidwarriors.gov.in से जुड़कर, देश की सेवा कर सकते हैं, Covid Warrior बन सकते हैं |",*,*
38,"साथियो, हर मुश्किल हालात, हर लड़ाई, कुछ-न-कुछ सबक देती है, कुछ-न-कुछ सिखा करके जाती है, सीख देती है |","ಸ್ನೇಹಿತರೆ, ಪ್ರತಿ ಸಂಕಷ್ಟದ ಸ್ಥಿತಿ ಪ್ರತಿ ಹೋರಾಟ ಏನಾದರೂ ಪಾಠ ಕಲಿಸುತ್ತದೆ.
ಏನಾದರೂ ಹೊಸತನ್ನು ಕಲಿಸಿ ಹೋಗುತ್ತದೆ ಮತ್ತು ತಿಳಿವಳಿಕೆ ಮೂಡಿಸುತ್ತದೆ.","स्नेहितरॆ, प्रति संकष्टद स्थिति प्रति होराट एनादरू पाठ कलिसुत्तदॆ.
एनादरू हॊसतन्नु कलिसि होगुत्तदॆ मत्तु तिळिवळिकॆ मूडिसुत्तदॆ."
