,Kannada,Sanskrit,devanagari_kannada
10,ಅಭಿವೃದ್ಧಿ ಹೊಂದುತ್ತಿರುವ ಭಾರತದಂತಹ ವಿಶಾಲವಾದ ದೇಶ ಬಡತನದೊಂದಿಗೆ ನಿರ್ಣಾಯಕ ಹೋರಾಟ ನಡೆಸಿದೆ.,"भारत-सदृशः विशालोsयं देशः, यो हि विकासार्थं सततं प्रयतते, निर्धनतां विरुद्ध्य निर्णायक-सङ्घर्षं विदधाति।",अभिवृद्धि हॊंदुत्तिरुव भारतदंतह विशालवाद देश बडतनदॊंदिगॆ निर्णायक होराट नडॆसिदॆ.
11,ಅದರ ಬಳಿ ಕೊರೊನಾ ವಿರುದ್ಧ ಹೋರಾಡಿ ಗೆಲ್ಲಲು ಇದೊಂದೇ ಉಪಾಯವಿದೆ.,"अस्य पार्श्वे, कोरोना-विषाणुना योद्धुं तञ्च जेतुम् अयमेव पन्था।",अदर बळि कॊरॊना विरुद्ध होराडि गॆल्ललु इदॊंदे उपायविदॆ.
12,"ನಾವು ಭಾಗ್ಯವಂತರು.
ಇಂದು ಸಂಪೂರ್ಣ ದೇಶದ ಪ್ರತಿ ನಾಗರಿಕ, ಪ್ರತಿಯೊಬ್ಬ ವ್ಯಕ್ತಿ, ಈ ಹೋರಾಟದ ಸೈನಿಕರಾಗಿದ್ದಾನೆ, ಹೋರಾಟದ ನೇತೃತ್ವವಹಿಸುತ್ತಿದ್ದಾರೆ.","तथा च, वयं सौभाग्यशालिनः यत्, साम्प्रतम्, अशेष-देशः, देशस्य प्रत्येकमपि नागरिकः, प्रतिजनञ्च, अस्य युद्धस्य योद्धास्ति, अस्य युद्धस्य नेतृत्वं करोति।","नावु भाग्यवंतरु.
इंदु संपूर्ण देशद प्रति नागरिक, प्रतियॊब्ब व्यक्ति, ई होराटद सैनिकरागिद्दानॆ, होराटद नेतृत्ववहिसुत्तिद्दारॆ."
13,"ನೀವೂ ಎಲ್ಲಿಯೇ ನೋಡಿ, ನಿಮಗೆ ಭಾರತದ ಹೋರಾಟ ಜನಸಂಘರ್ಷವಾಗಿದೆ ಎಂಬುದರ ಅನುಭವವಾಗುತ್ತದೆ.
ಸಂಪೂರ್ಣ ವಿಶ್ವವೇ ಈ ಮಹಾಮಾರಿಯ ಸಂಕಷ್ಟದಲ್ಲಿ ಸಿಲುಕಿಕೊಂಡಿದೆ.","भवन्तः कुत्रचिदपि अवलोकयन्तु, नूनम् अनुभविष्यन्ति यत् भारतीयं युद्धं जन-सञ्चालितमस्ति। यदा अशेषमपि विश्वम् अस्याः महामार्याः सङ्कटेन सङ्घर्षनिरतं वर्तते।","नीवू ऎल्लिये नोडि, निमगॆ भारतद होराट जनसंघर्षवागिदॆ ऎंबुदर अनुभववागुत्तदॆ.
संपूर्ण विश्ववे ई महामारिय संकष्टदल्लि सिलुकिकॊंडिदॆ."
14,"ಭವಿಷ್ಯದಲ್ಲಿ ಇದರ ಕುರಿತು ಚರ್ಚೆಯಾದಾಗ, ಈ ಸಮಯದಲ್ಲಿ ಕೈಗೊಂಡ ಕ್ರಮಗಳ ಬಗ್ಗೆ ಚರ್ಚೆಯಾದಾಗ, ಭಾರತದ ಜನಸಂಘರ್ಷದ ಕುರಿತು ಖಂಡಿತ ಚರ್ಚೆಯಾಗುತ್ತದೆ ಎಂಬ ವಿಶ್ವಾಸ ನನಗಿದೆ.","भविष्यति काले, यदा एतद्विषयिणी चर्चा भविता, एतद्-प्रतिरोधस्य पद्धति-सम्बद्धा च चर्चा भविता, दृढं विश्वसिमि यत् भारतस्य अस्य जन-सञ्चालितस्य सङ्घर्षस्य चर्चा नूनं भविता।","भविष्यदल्लि इदर कुरितु चर्चॆयादाग, ई समयदल्लि कैगॊंड क्रमगळ बग्गॆ चर्चॆयादाग, भारतद जनसंघर्षद कुरितु खंडित चर्चॆयागुत्तदॆ ऎंब विश्वास ननगिदॆ."
15,"ಸಂಪೂರ್ಣ ದೇಶದಲ್ಲಿ, ಪ್ರತಿ ಬೀದಿ, ಬೀದಿಗಳಲ್ಲಿ ಇಂದು ಜನರು ಪರಸ್ಪರರ ನೆರವಿಗೆ ಮುಂದೆ ಬಂದಿದ್ದಾರೆ.","सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।","संपूर्ण देशदल्लि, प्रति बीदि, बीदिगळल्लि इंदु जनरु परस्परर नॆरविगॆ मुंदॆ बंदिद्दारॆ."
16,"ಬಡವರ ಊಟದ ವ್ಯವಸ್ಥೆಯಿಂದ ಹಿಡಿದು ಪಡಿತರ ವ್ಯವಸ್ಥೆ, ಲಾಕ್ ಡೌನ್ ಪಾಲಿಸುವುದಾಗಲಿ, ಆಸ್ಪತ್ರೆಗಳ ವ್ಯವಸ್ಥೆಯಾಗಲಿ, ದೇಶದಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉಪಕರಣಗಳ ಉತ್ಪಾದನೆಯಾಗಲಿ – ಸಂಪೂರ್ಣ ದೇಶ ಇಂದು ಒಂದೇ ಗುರಿ, ಒಂದೇ ದಿಕ್ಕಿನೆಡೆ ಒಗ್ಗೂಡಿ ಮುನ್ನಡೆದಿದೆ.","निर्धनानां कृते भोजनम्, भवतु तत् भोजन-सामग्री वा सञ्चार-रोधस्य अनुपालनम्, चिकित्सालयानां व्यवस्था भवतु वा, चिकित्सकीयानाम् उपकरणानां देशे एव निर्माणं स्याद्वा – सम्प्रति पूर्णोsपि देशः, एकमेव लक्ष्यम्, एकामेव दिशम्, संलक्ष्य युगपदेव अग्रेसरति।","बडवर ऊटद व्यवस्थॆयिंद हिडिदु पडितर व्यवस्थॆ, लाक् डौन् पालिसुवुदागलि, आस्पत्रॆगळ व्यवस्थॆयागलि, देशदल्लि वैद्यकीय उपकरणगळ उत्पादनॆयागलि – संपूर्ण देश इंदु ऒंदे गुरि, ऒंदे दिक्किनॆडॆ ऒग्गूडि मुन्नडॆदिदॆ."
17,"ಚಪ್ಪಾಳೆ, ಜಾಗಟೆ, ದೀಪ, ಮೇಣದ ಬತ್ತಿ ಇವೆಲ್ಲವೂ ಮೂಡಿಸಿದಂತಹ ಭಾವನೆಗಳು, ದೇಶಬಾಂಧವರಲ್ಲಿ ಏನನ್ನಾದರೂ ಮಾಡಲೇಬೇಕೆಂಬ ಹಠವನ್ನು ಹುಟ್ಟುಹಾಕಿವೆ.","करताडनं, स्थाली-वादनं, दीपानां सिक्थवर्तिकानाञ्च प्रज्वालनम्, एतैः कार्यैः ते भावाः समुत्पादिताः, सा भावना जनानां मनस्सु जाता, येन देशवासिनः, किञ्चित् किञ्चिदपि कर्तुं निर्णीतवन्तः – एते भावाः प्रत्येकमपि प्रेरितवन्तः।","चप्पाळॆ, जागटॆ, दीप, मेणद बत्ति इवॆल्लवू मूडिसिदंतह भावनॆगळु, देशबांधवरल्लि एनन्नादरू माडलेबेकॆंब हठवन्नु हुट्टुहाकिवॆ."
18,"ಗ್ರಾಮವಿರಲಿ, ನಗರವೇ ಆಗಿರಲಿ, ಎಲ್ಲಿ ನೋಡಿದರೂ ದೇಶದಲ್ಲಿ ಒಂದು ಮಹಾಯಜ್ಞ ನಡೆದಂತೆ ಭಾಸವಾಗುತ್ತಿದೆ, ಇದರಲ್ಲಿ ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಕೊಡುಗೆ ನೀಡಲು ಕಾತುರರಾಗಿದ್ದಾರೆ.","भवतु नाम पुरं वा ग्रामः, एवं प्रतीयते - यथा देशे कश्चन बृहत्तमः महायज्ञः प्रवर्तते, यस्मै स्वीयं योगदानमर्पयितुं प्रत्येकमपि जनः समुत्साही दृश्यते।","ग्रामविरलि, नगरवे आगिरलि, ऎल्लि नोडिदरू देशदल्लि ऒंदु महायज्ञ नडॆदंतॆ भासवागुत्तिदॆ, इदरल्लि प्रतियॊब्बरू तम्म कॊडुगॆ नीडलु कातुररागिद्दारॆ."
19,"
ನಮ್ಮ ರೈತ ಸೋದರ ಸೋದರಿಯರನ್ನೇ ನೋಡಿ! ಒಂದೆಡೆ ಅವರು ಈ ಮಹಾಮರಿಯ ಮಧ್ಯೆಯೇ ತಮ್ಮ ತೋಟಗದ್ದೆಗಳಲ್ಲಿ ಹಗಲಿರುಳು ಶ್ರಮಿಸುತ್ತಿದ್ದಾರೆ. ಮತ್ತೊಂದೆಡೆ ದೇಶದಲ್ಲಿ ಯಾರೂ ಹಸಿವಿನಿಂದ ಬಳಲಬಾರದು ಎಂದು ಚಿಂತಿಸುತ್ತಿದ್ದಾರೆ.","अस्मदीयान् कृषक भगिनी-भ्रातॄन् एव अवलोकयन्तु – एकतः ते, अस्यां महामार्यां निजक्षेत्रेषु अहर्निशं परिश्रमन्ते, युगपदेव एवमपि चिन्तयन्ति यत् देशे न कश्चन अपि क्षुधितः एव शयीत।","
नम्म रैत सोदर सोदरियरन्ने नोडि! ऒंदॆडॆ अवरु ई महामरिय मध्यॆये तम्म तोटगद्दॆगळल्लि हगलिरुळु श्रमिसुत्तिद्दारॆ. मत्तॊंदॆडॆ देशदल्लि यारू हसिविनिंद बळलबारदु ऎंदु चिंतिसुत्तिद्दारॆ."
20,ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಸಾಮರ್ಥ್ಯಕ್ಕನುಸಾರವಾಗಿ ಈ ಹೋರಾಟ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,"प्रत्येकमपि, स्वीय सामर्थ्यानुसारं, युद्धमिदं युध्यते।",प्रतियॊब्बरू तम्म सामर्थ्यक्कनुसारवागि ई होराट नडॆसुत्तिद्दारॆ.
21,"ಯಾರೋ ಬಾಡಿಗೆಯನ್ನು ಮನ್ನಾ ಮಾಡಿದರೆ, ಇನ್ನಾರೋ ತಮ್ಮ ಪಿಂಚಣಿ ಅಥವಾ ಪ್ರಶಸ್ತಿ ಮೌಲ್ಯವನ್ನು ಪಿ ಎಂ ಕೇರ್ಸ್ ನಿಧಿಗೆ ಜಮಾ ಮಾಡುತ್ತಿದ್ದಾರೆ.","कश्चन स्वीयं भाटकं नैवादत्ते, तर्हि कश्चन नैजं पूर्णमपि सेवानिवृत्ति वेतनम् आहोस्वित् पुरस्कार राशिमेव, PM CARES इति प्रधानमन्त्रिणः कोषाय ददाति।","यारो बाडिगॆयन्नु मन्ना माडिदरॆ, इन्नारो तम्म पिंचणि अथवा प्रशस्ति मौल्यवन्नु पि ऎं केर्स् निधिगॆ जमा माडुत्तिद्दारॆ."
22,ಯಾರೋ ತೋಟದ ಎಲ್ಲ ತರಕಾರಿಗಳನ್ನು ದಾನ ಮಾಡುತ್ತಿದ್ದಾರೆ ಮತ್ತೊಬ್ಬರು ಪ್ರತಿದಿನ ಸಾವಿರಾರು ಬಡವರಿಗೆ ಉಚಿತ ಭೋಜನ ನೀಡುತ್ತಿದ್ದಾರೆ.,"कश्चन स्वीय क्षेत्रस्य सर्वमपि शाकादि जातं दानवृत्या ददाति, तर्हि अपरत्र कश्चन अपरः, प्रतिदिनं सहस्रशो निर्धनेभ्यः निःशुल्कं भोजनं परिवेषयति।",यारो तोटद ऎल्ल तरकारिगळन्नु दान माडुत्तिद्दारॆ मत्तॊब्बरु प्रतिदिन साविरारु बडवरिगॆ उचित भोजन नीडुत्तिद्दारॆ.
23,"ಯಾರೋ ಮಾಸ್ಕ್ ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದರೆ, ಬಹಳಷ್ಟು ನಮ್ಮ ಕಾರ್ಮಿಕ ಸೋದರ ಸೋದರಿಯರು, ಯಾವ ಶಾಲೆಯಲ್ಲಿ ಕ್ವಾರೆಂಟೈನ್ ಆಗಿರುವರೋ ಆ ಶಾಲೆಯ ಸುಣ್ಣ ಬಣ್ಣದ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.","कश्चन मुखाच्छादकानि निर्माति, कुत्रचिच्च अस्मदीयाः श्रमिकाः भगिनी-भ्रातरो यत्र विद्यालयीय भवनेषु quarantine इति सङ्ग रोधे निवसन्ति, तानि धातु-चूर्णैः लेपयन्ति रञ्जयन्ति च।","यारो मास्क् सिद्धपडिसुत्तिद्दरॆ, बहळष्टु नम्म कार्मिक सोदर सोदरियरु, याव शालॆयल्लि क्वारॆंटैन् आगिरुवरो आ शालॆय सुण्ण बण्णद कॆलस माडुत्तिद्दारॆ."
24,"ಸ್ನೇಹಿತರೆ, ಮತ್ತೊಬ್ಬರ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಹೃದಯದ ಯಾವುದೋ ಮೂಲೆಯಲ್ಲಿ ಉಕ್ಕುತ್ತಿರುವ ಭಾವನೆಯೇನಿದೆಯೋ ","मित्राणि, अन्येषां सहायतायै भवद्भिः हृदये आलोडमानः यद्भावः वर्तते ","स्नेहितरॆ, मत्तॊब्बर सहायक्कागि निम्म हृदयद यावुदो मूलॆयल्लि उक्कुत्तिरुव भावनॆयेनिदॆयो "
25,"ಅದೇ ಕೊರೊನಾ ವಿರುದ್ಧದ ಭಾರತದ ಈ ಹೋರಾಟಕ್ಕೆ ಶಕ್ತಿ ತುಂಬುತ್ತಿದೆ, ಅದೇ ಈ ಹೋರಾಟವನ್ನು ನಿಜವಾದ ಅರ್ಥದಲ್ಲಿ ಜನಸಂಘರ್ಷವನ್ನಾಗಿಸುತ್ತಿದೆ. ಅಲ್ಲದೆ ಕಳೆದ ಕೆಲವು ವರ್ಷಗಳಿಂದ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಈ ಮನಸ್ಥಿತಿ ರೂಪುಗೊಳ್ಳುತ್ತಿದೆ ಮತ್ತು ಅದು ನಿರಂತರವಾಗಿ ಸದೃಡಗೊಳ್ಳುತ್ತಿದೆ ಎಂಬುದನ್ನು ನಾವು ನೋಡಿದ್ದೇವೆ.","तद्धि कोरोनां विरुद्ध्य भारतस्य संघर्षं प्रबलं करोति। असावेव भावः यथार्थेषु एतत्संघर्षं जनसंचालितं करोति।
अस्माभिः दृष्टं यत् विगतेषु वर्षेषु अस्माकं देशे एषः भावः उत्पन्नः सततं च दृढत्वं याति।","अदे कॊरॊना विरुद्धद भारतद ई होराटक्कॆ शक्ति तुंबुत्तिदॆ, अदे ई होराटवन्नु निजवाद अर्थदल्लि जनसंघर्षवन्नागिसुत्तिदॆ. अल्लदॆ कळॆद कॆलवु वर्षगळिंद नम्म देशदल्लि ई मनस्थिति रूपुगॊळ्ळुत्तिदॆ मत्तु अदु निरंतरवागि सदृडगॊळ्ळुत्तिदॆ ऎंबुदन्नु नावु नोडिद्देवॆ."
26,"ಅದು ಕೋಟ್ಯಾಂತರ ಜನರು ಗ್ಯಾಸ್ ಸಬ್ಸಿಡಿ ಬಿಟ್ಟುಕೊಡುವುದಾಗಲಿ, ಲಕ್ಷಾಂತರ ಹಿರಿಯ ನಾಗರಿಕರು ತಮ್ಮ ರೈಲ್ವೇ ಸಬ್ಸಿಡಿ ಬಿಟ್ಟುಕೊಡುವುದಾಗಲಿ, ಸ್ವಚ್ಛ ಬಾರತ ಆಂದೋಲನದ ನೇತೃತ್ವವಹಿಸುವುದಾಗಲಿ, ಶೌಚಾಲಯಗಳನ್ನು ನಿರ್ಮಿಸುವುದಾಗಲಿ –ಲೆಕ್ಕವಿಲ್ಲದಷ್ಟು ಇಂಥ ವಿಷಯಗಳಿವೆ.","प्रत्युत कोटिभिः जनैः वात्यर्थ साहाय्यत्यागः भवेत्, लक्षैः वरिष्ठनागरिकैः रेलयात्रार्थ-साहाय्यत्यागो वा, स्वच्छभारताभियानस्य नेतृत्वं भवेत् ,शौचालय-निर्माणं वा,ईदृशाः अगणिताः विषयाः सन्ति।","अदु कोट्यांतर जनरु ग्यास् सब्सिडि बिट्टुकॊडुवुदागलि, लक्षांतर हिरिय नागरिकरु तम्म रैल्वे सब्सिडि बिट्टुकॊडुवुदागलि, स्वच्छ बारत आंदोलनद नेतृत्ववहिसुवुदागलि, शौचालयगळन्नु निर्मिसुवुदागलि –लॆक्कविल्लदष्टु इंथ विषयगळिवॆ."
27,ಇವೆಲ್ಲವುಗಳಿಂದ ನಮಗೆ ತಿಳಿಯುವುದೇನೆಂದರೆ – ಒಂದೇ ಸೂತ್ರದಲ್ಲಿ ನಮ್ಮೆಲ್ಲರ ಮನಸ್ಸುಗಳನ್ನು ಬಂಧಿಸಲಾಗಿದೆ.,एतैः वृत्तैः ज्ञायते यद्वयं सर्वे अस्माकं मनांसि चैकेन सुदृढेन सूत्रेण आविष्टाः। ,इवॆल्लवुगळिंद नमगॆ तिळियुवुदेनॆंदरॆ – ऒंदे सूत्रदल्लि नम्मॆल्लर मनस्सुगळन्नु बंधिसलागिदॆ.
28,ಒಗ್ಗೂಡಿ ದೇಶಕ್ಕಾಗಿ ಏನಾದರೂ ಮಾಡುವಂತೆ ಪ್ರೇರೆಪಿಸಿದೆ.,सम्भूय च देशाय किमपि कर्तुं प्रेरिताः।,ऒग्गूडि देशक्कागि एनादरू माडुवंतॆ प्रेरॆपिसिदॆ.
29,"ನನ್ನ ಪ್ರಿಯ ದೇಶಬಾಂಧವರೆ, ನಾನು ವಿನಮ್ರನಾಗಿ ಬಹಳ ಗೌರವದಿಂದ 130 ಕೋಟಿ ದೇಶವಾಸಿಗಳ ಈ ಭಾವನೆಗೆ ಇಂದು ತಲೆ ಬಾಗುತ್ತೇನೆ.","मम प्रियाः देशवासिनः, अहं विनम्रतया बह्वादरेण च अद्य त्रिंशदुत्तरैकशतकोटिमितानां देशवासिनां एतद्भावनां शिरसा नमामि।","नन्न प्रिय देशबांधवरॆ, नानु विनम्रनागि बहळ गौरवदिंद 130 कोटि देशवासिगळ ई भावनॆगॆ इंदु तलॆ बागुत्तेनॆ."
30,"ನಿಮ್ಮ ಭಾವನೆಯ ಪ್ರಕಾರ ದೇಶಕ್ಕೆ ನಿಮ್ಮ ಆಸಕ್ತಿಯನುಸಾರ, ನಿಮ್ಮ ಸಮಯದ ಲಭ್ಯತೆಗೆ ತಕ್ಕಂತೆ ಏನನ್ನಾದರೂ ಮಾಡಲು ಸರ್ಕಾರವು ಒಂದು ಡಿಜಿಟಲ್ ವೇದಿಕೆಯನ್ನು ಸಿದ್ಧಪಡಿಸಿದೆ.",भवन्तः स्वीयभावनया रुचिपुरस्सरं समयानुसारेण च देशाय किमपि कर्तुमिच्छन्ति चेत्तर्हि सर्वकारेण एतस्य कृते एकं डिजिटल इति अन्तर्जालीयं पटलं उपकल्पितम्।,"निम्म भावनॆय प्रकार देशक्कॆ निम्म आसक्तियनुसार, निम्म समयद लभ्यतॆगॆ तक्कंतॆ एनन्नादरू माडलु सर्कारवु ऒंदु डिजिटल् वेदिकॆयन्नु सिद्धपडिसिदॆ."
31,ಈ ವೇದಿಕೆ – covidwarriors.gov.in.,अस्याभिधानं covidwarriors.gov.in  इत्यस्ति।,ई वेदिकॆ – covidwarriors.gov.in.
32,ನಾನು ಮತ್ತೊಮ್ಮೆ ಹೇಳುತ್ತೇನೆ covidwarriors..gov.in.,अहं आवर्तयामि covidwarriors.gov.in इति।,नानु मत्तॊम्मॆ हेळुत्तेनॆ covidwarriors..gov.in.
33,"ಈ ವೇದಿಕೆ ಎಲ್ಲ ಸಾಮಾಜಿಕ ಸಂಸ್ಥೆಗಳ ಸ್ವಯಂಸೇವಕರು, ನಾಗರಿಕ ಸಮಾಜದ ಪ್ರತಿನಿಧಿಗಳು ಮತ್ತು ಸ್ಥಳೀಯ ಆಡಳಿತಗಳ ನಡುವೆ ಪರಸ್ಪರ ಸಂಪರ್ಕ ಕಲ್ಪಿಸಿದೆ.","सर्वकारेण एतत्पटलमाध्यमेन सर्वासामपि सामाजिक-संस्थानां स्वयंसेवकाः, जनसमाजस्य प्रतिनिधयः स्थानीयप्रशासनं च परस्परं सम्बद्धीकृतमस्ति।","ई वेदिकॆ ऎल्ल सामाजिक संस्थॆगळ स्वयंसेवकरु, नागरिक समाजद प्रतिनिधिगळु मत्तु स्थळीय आडळितगळ नडुवॆ परस्पर संपर्क कल्पिसिदॆ."
34,"ಬಹಳ ಕಡಿಮೆ ಸಮಯದಲ್ಲಿ, 1 ಕೋಟಿ 25 ಲಕ್ಷ ಜನರು ಈ ಪೋರ್ಟಲ್ ನಲ್ಲಿ ಸೇರಿದ್ದಾರೆ.",अत्यल्पसमये एतत्पटलेन सपादैक-कोटिजनाः संयुक्ताः।,"बहळ कडिमॆ समयदल्लि, 1 कोटि 25 लक्ष जनरु ई पोर्टल् नल्लि सेरिद्दारॆ."
35,"ಇವರಲ್ಲಿ ವೈದ್ಯರು, ಶುಶ್ರೂಷಕಿಯರಿಂದ ಹಿಡಿದು ನಮ್ಮ ಆಶಾ, ಎಎನ್‌ಎಂ ಸಹೋದರಿಯರು , ನಮ್ಮ ಎನ್‌ಸಿಸಿ , ಎನ್‌ಎಸ್‌ಎಸ್ ಸ್ನೇಹಿತರು, ವಿವಿಧ ಕ್ಷೇತ್ರಗಳ ಎಲ್ಲ ವೃತ್ತಿಪರರು , ಈ ವೇದಿಕೆಯನ್ನು ತಮ್ಮ ವೇದಿಕೆಯನ್ನಾಗಿಸಿಕೊಂಡಿದ್ದಾರೆ.","एतेषु चिकित्सकैः परिचारिकाभिः आशा-ए.एन्.एम्.भगिनीभिः अस्माकम् एन्.सी.सी., अपि च, एन्.एस्.एस्. मित्रैः, भिन्नक्षेत्रेभ्यश्च नैकैः व्यवसायिभिः एषः आत्मीय-पटलत्वेन अंगीकृतः।","इवरल्लि वैद्यरु, शुश्रूषकियरिंद हिडिदु नम्म आशा, ऎऎन्‌ऎं सहोदरियरु , नम्म ऎन्‌सिसि , ऎन्‌ऎस्‌ऎस् स्नेहितरु, विविध क्षेत्रगळ ऎल्ल वृत्तिपररु , ई वेदिकॆयन्नु तम्म वेदिकॆयन्नागिसिकॊंडिद्दारॆ."
